설치번호,행정구역,도로명,단속구간(방향),설치지점(지번주소),설치지점(도로명주소),명칭,설치년도,단속방식
900,목1동,신목로,청학스포츠타운 -> 목동중학교,목1동 405-87,서울특별시 양천구 신목로 95-1,목1동 오목교역7번출구,2008,자동
901,목2동,목동중앙본로,달마을공원->목동문화체육센터 앞,목2동 30-18,서울특별시 양천구 목동중앙본로 74,목2동 문화체육센터 앞,2008,자동
902,목4동,목동중앙로,영도초등학교 <-> 월촌초등학교,목4동 753-7,서울특별시 양천구 목동중앙로 95,목4동 청우빌딩 앞,2008,자동
903,목4동,목동중앙로,목4동사무소<->신목중학교,목4동 762-10,서울특별시 양천구 목동중앙로 73,목4동 영도초등학교 앞,2008,자동
904,목4동,목동중앙서로,곰달래길 구간,목4동 797-8,서울특별시 양천구 목동중앙서로 30,목4동 태학관 앞,2008,자동
905,신정6동,목동서로,구의회 앞길 <-> 센트럴프라자,신정6동 322-1,서울특별시 양천구 목동서로 355,신정6동 서울강림교회 앞,2008,자동
906,신정4동,국회대로,신정4동 <->제물포로,신정4동 881-1,서울특별시 양천구 국회대로 214,신정4동 한서빌딩 앞,2008,자동
907,신월2동,오목로,양강초후문 <-> 양강중 <-> 대광주택,신월2동 495-1,서울특별시 양천구 오목로 101,양강초등학교 후문 통학로,2021년이전설치,자동
908,신정4동,목동로,목동아파트703동앞<->KT<->예술인회관,목동 925번지,서울특별시 양천구 목동로 212,목동아파트 703동앞-KT,2021년이전설치,자동
909,신월7동,지양로,과학수사연구소 <->신월체육센터,신월7동 928-1,서울특별시 양천구 지양로 78,신월7동 우성상가 앞,2008,자동
910,신월1동,곰달래로5길,신월1동(걷고싶은거리),신월1동 110-29,서울특별시 양천구 곰달래로5길 22-1,신월1동 태헌아파트 앞,2008,자동
911,신월1동,곰달래로5길,신월1동(걷고싶은거리),신월1동 109-12,서울특별시 양천구 곰달래로5길 40,신월1동 동아교회 앞,2008,자동
912,신월1동,곰달래로5길,신월1동(걷고싶은거리),신월1동 97-23,서울특별시 양천구 곰달래로5길 76,신월1동 신진빌라 앞,2008,자동
913,목1동,오목로,하이페리온 I <-> 트라팰리스,목1동 962-1,서울특별시 양천구 오목로 299,목1동 이마트 앞,2009,자동
914,목5동,목동서로,현대월드타워 <-> 우성에펠타운,목5동 907-8,서울특별시 양천구 목동서로 67,목5동 우성에펠타운 앞,2009,자동
915,목4동,목동중앙로,대원칸타빌 2단지 <-> 3단지,목4동 943,서울특별시 양천구 목동중앙로 11,목4동 대원칸타빌아파트,2016,자동
916,신월7동,신월로,장애인 자립장 <-> 재신철강,신월7동 981-2,서울특별시 양천구 신월로 123,신월7동 하성빌딩 앞,2009,자동
917,목1동,목동서로,CBS <-> 파라곤,목1동 917,서울특별시 양천구 목동서로 155,목1동 파라곤(SBS) 앞,2009,자동
918,목4동,목동중앙서로,길벗아카데미 <-> 목4동사거리,목4동 790-21,서울특별시 양천구 목동중앙서로 15-1,목4동 일우자동차공업사 건너편,2014,자동
919,목5동,목동동로,현대파리지앙 <-> 현대파크빌,목5동 908-28,서울특별시 양천구 목동동로 401,목5동 부영그린타운 앞,2009,자동
920,신월7동,지양로,우리은행 <-> 영마트,신월7동 992-3,서울특별시 양천구 지양로 22,신월7동 우리은행 주변,2009,자동
921,신월1동,곰달래로,세진어린이집 <-> LG전자대리점,신월1동 227-5,서울특별시 양천구 곰달래로 40,신월1동 미타사 앞,2009,자동
922,목1동,오목로,종로학원 <->하이스트학원,목1동 405-270,서울특별시 양천구 오목로 286,목1동 서울탑치과 앞,2009,자동
923,목1동,국회대로,행복한백화점 <-> KT목동IDC2센터,목동 917-6,서울특별시 양천구 목동동로 309,목1동 행복한백화점 앞,2010,자동
924,신정6동,목동서로,한국전력 <-> 신정6동 공영주차장,신정6동 318-6,서울특별시 양천구 목동서로 287,신정6동 동문비젼오피스텔 앞,2010,자동
925,신정7동,목동동로,동문굿모닝탑 <-> 맥도널드,신정7동 323-13,서울특별시 양천구 목동동로 63,신정7동 누리공영주차장 앞,2010,자동
926,신정2동,신목로,목동동로10길 <-> 신목로7길,신정2동 296-93,서울특별시 양천구 신목로 50,신정2동 리더스빌딩 앞,2010,자동
927,목3동,공항대로,공항로 <-> 목동중앙북로7길,목3동 602-1,서울특별시 양천구 공항대로 564,목3동 강서보건소 건너편,2010,자동
928,목1동,목동동로,양천뼈다귀 <-> 현대백화점,목1동 916,서울특별시 양천구 목동동로 257,목1동 현대백화점 앞,2010,자동
929,목5동,목동동로,트윈빌 <-> 목5동 성당,목5동 905-22,서울특별시 양천구 목동동로 339,목5동 트윈빌 앞,2010,자동
930,목5동,목동동로,목동능력교회  <-> 부영3차그린타운,목동 908-34,서울특별시 양천구 목동동로 411,목5동 부영그린타운3차 앞 사거리,2011,자동
931,목4동,목동중앙본로,등촌로 <-> 고목9길,목4동 739-1,서울특별시 양천구 목동중앙본로7길 45,목4동 보미리즌빌 앞,2010,자동
932,목3동,목동중앙북로,등촌시장 <-> 롯데캐슬,목3동 602-10,서울특별시 양천구 목동중앙북로 31,목3동 롯데캐슬프라자 앞,2010,자동
933,신월1동,남부순환로,LPG충전소 <-> 신월1동 131-6,신월1동 131-7,서울특별시 양천구 남부순환로 411,신월1동 대흥가스 앞,2010,자동
934,신정7동,목동동로3길,계남초등학교 <-> 봉영여중,신정7동 325-8,서울특별시 양천구 목동로2길 68 ,신정7동 봉영여자중학교 앞,2011,자동
935,목5동,안양천로,이대목동병원 정문 <-> 후문,목5동 911-1,서울특별시 양천구 안양천로 1071,목5동 이대목동병원 앞,2011,자동
936,신정2동,목동동로12길,신협 <-> 복지관,신정2동 119-1,서울특별시 양천구 목동동로12길 54,신정2동 파리바게트 앞,2011,자동
937,목4동,목동중앙남로 ,영도중학교 <-> 강서고교 담장뒷길,목4동 768-5,서울특별시 양천구 목동중앙남로3길 11,목4동 강서고등학교 담장 옆,2011,자동
938,목4동,목동중앙남로 ,강서고교 <-> 목동노블레스,목4동 766-16,서울특별시 양천구 목동중앙남로 22,목4동 한신빌딩 앞 사거리,2011,자동
939,신정3동,신정로11길,푸른마을 1.3단지 정류장 <-> 패밀리마트,신정3동 1284-1,서울특별시 양천구 신정로11길 74,신정3동 지향초등학교 앞,2011,자동
940,목2동,공항대로,염창역 3번출구 <-> 플래티넘 치과,목2동 514,서울특별시 양천구 공항대로 622,목2동 염창역4번출구,2012,자동
941,신월5동,월정로,강서교육청 <-> 롯데캐슬,신월5동 9-3,서울특별시 양천구 월정로 285,신월5동 강신초등학교 앞,2012,자동
942,신월1동,남부순환로,국민은행 <-> 으뜸공원 주차장,신월1동 146-1,서울특별시 양천구 남부순환로 353,신월1동 국민은행 앞,2012,자동
943,신정4동,오목로,신정역 4번출구 <-> 오목로,신정4동 947-4,서울특별시 양천구 오목로 154,신정4동 신정역5번출구,2012,자동
944,신정7동,목동남로4길,세양청마루 앞 <-> 고척로,신정7동 201-1,서울특별시 양천구 목동남로4길 2,신정7동 세양청마루아파트,2012,자동
945,신정3동,신정이펜1로50,이펜하우스 <-> 신월시영아파트,신정3동 1319,서울특별시 양천구 신정이펜2로 30,신정3동 신은초등학교 앞 사거리,2013,자동
946,신월2동,오목로,경창시장 <-> 해태아파트,신월2동 445-16,서울특별시 양천구 오목로 51,신월2동 파리바게트 앞,2013,자동
947,신월3동,가로공원로,빛여울 <-> 신월4거리,신월3동 148-3,서울특별시 양천구 가로공원로 98,신월3동 광음교회 맞은편,2013,자동
948,목2동,목동중앙북로,강서농협앞 <-> 목2동주민센터 ,목2동 507-2,서울특별시 양천구 목동중앙북로 73,목2동 강서농협 앞 삼거리,2013,자동
949,목1동,목동동로,현대백화점앞 <-> 진도아파트,목1동 406-223,서울특별시 양천구 목동동로 256,목1동 송현빌딩 앞,2013,자동
950,목2동,목동중앙본로,새마을금고앞 <-> 성운빌딩,목2동 497-2,서울특별시 양천구 목동중앙본로 107-1,목2동 대명이튼캐슬 옆,2014,자동
951,목2동,공항대로,밀레니엄오피스텔앞 <-> 염창역,목2동 515-7,서울특별시 양천구 공항대로 640,목2동 밀레니엄오피스텔 앞,2014,자동
952,신월1동,곰달래로,보람아파트 <-> 곰달래로,신월1동 226-1,서울특별시 양천구 곰달래로 22,신월1동 보람아파트 앞 사거리,2014,자동
953,신월5동,가로공원로,유경빌딩 <-> 서광빌딩,신월5동 81-15,서울특별시 양천구 가로공원로 131,신월5동 이지스오토랩 앞,2014,자동
954,신정3동,신정이펜2로,서남병원후문 <-> 신정이펜2로,신정3동 1320,서울특별시 양천구 신정이펜1로 14,신정3동 서남병원 후문,2014,자동
955,목1동,오목로,목동센트럴푸르지오<->목동삼익,목1동 404-108,서울특별시 양천구 신목로2길 62,목1동 목동센트럴푸르지오 앞,2015,자동
956,신월5동,화곡로4길,신월5동 주민센터 <-> 화곡로,신월5동 52-2,서울특별시 양천구 화곡로 4길 10,신월5동 주민센터 앞,2015,자동
957,신월6동,신월로,신월6동 김밥나라 <-> 신곡시장,신월6동 548-7,서울특별시 양천구 신월동 148,신월6동 솔밭유치원,2015,자동
958,신월4동,신월로,금용아파트 <-> 궁전맨션 앞,신월4동 533-1,서울특별시 양천구 신월로17길 22,신월4동 금용아파트 앞,2015,자동
959,신정4동,오목로,"한솥도시락 <-> 신정2,3번 출구",신정4동  907-11,서울특별시 양천구 오목로 203,신정4동 목동예치과,2015,자동
960,목1동,오목로 ,오목역 1번출구 <-> 오목역 3번출구,목1동 406-180,서울특별시 양천구 오목로 337,목1동 금호아파트,2015,자동
961,목4동,목동중앙본로,고목나무오거리 ,목4동 744-18,서울특별시 양천구 목동중앙본로 1길 42,목4동 미성아파트 앞 사거리,2015,자동
962,목4동,목동중앙본로,고목나무오거리 ,목4동 760-26,서울특별시 양천구 목동중앙본로 1길 35 ,목4동 은혜하이츠빌라 앞,2015,자동
963,목5동,목동서로,하이베라스오피스텔<-> 부영그린타운3차,목5동 908-32,서울특별시 양천구 목동서로 41,목5동 주민센터 앞,2016,자동
964,신월4동,오목로,월정로 9길 <-> 남부순환로67,신월4동 422-1,서울특별시 양천구 오목로3길 34,신월4동 태양어린이공원 앞,2016,자동
965,신정2동,목동동로,길훈로즈빌 아파트 <-> 현대2차 아파트 101동,신정2동 86-1,서울특별시 양천구 목동동로 196,신정2동 삼성쉐르빌 앞 사거리,2016,자동
966,신정1동,신월로,신정1동 우체국 <-> 서울남부지방법원,신정1동 1014-3,서울특별시 양천구 신월로 376,신정1동 남부지방법원 삼거리,2016,자동
967,신정7동,목동서로,KEB 하나은행 목동남점 <-> 대림아크로빌,신정7동 324-9,서울특별시 양천구 목동서로 393,신정7동 목동제일교회 앞,2016,자동
968,신정3동,중앙로,목동메디컬복합센터 <-> 신정 현대5차아파트,신정3동 1268,서울특별시 양천구 중앙로181,신정3동 목동메디컬복합센터,2018,자동
969,목3동,목동중앙북로,등촌교회 <-> 목3동 롯데캐슬 마에스트로,목3동 626-19,서울특별시 양천구 목동중앙북로 8다길 1,목3동 등촌교회,2018,자동
970,신정6동,목동동로,목동14단지 1434동 <-> 목동14단지 1422동,신정동 329,서울특별시 양천구 목동동로 130 ,목동신시가지 14단지 앞 삼거리,2019,자동
971,신정7동,목동동로,목동12단지아파트1218동 <-> 양천구청역 2번출구,신정동 327,서울특별시 양천구 목동동로 100 ,양천구청역 2번출구앞 삼거리,2019,자동
972,목1동,오목로,산돌교회 <-> 서정초등학교,목동 408-76,서울특별시 양천구 오목로 52길 9 ,횃불교회 앞,2019,자동
973,목1동,목동동로,kobaco한국방송회관 <-> 서울이동통신빌딩,목동 923-14,서울특별시 양천구 목동동로 233-1 ,오목공원앞 삼거리,2019,자동
974,목5동,목동중앙로,목동우성아파트 <-> 목동2단지아파트,목동 199-48,서울특별시 양천구 목동중앙로 131 ,월촌초등학교앞 교차로,2019,자동
975,신정7동,목동남로4길,목동파크자이 <-> 서부식자재마트,신정동 170-45,서울특별시 양천구 목동남로4길 80,신정7동 갈산자이아파트 앞,2019,자동
976,신월6동,남부순환로 ,신월6동주민센터 <->센트럴아이파크 ,신월6동 596-12,서울특별시 양천구 남부순환로 609,센트럴아이파크 앞,2020,자동
977,목5동,목동서로,양천도서관 <-> 목동파라곤,목5동 905-27,서울특별시 양천구 목동서로 133,CMSW에듀 앞,2020,자동
978,목5동,목동동로,부영그린타운 <-> 이대목동병원 <-> 목5동문화센터,목5동 909-5,서울특별시 양천구 목동동로 435,목동정문약국 앞,2020,자동
979,신정1동,중앙로32길,현대프라자앞 <-> 목동10단지아파트 <-> 목동9단지아파트,신정1동 1021-9,서울특별시 양천구 중앙로32길61,현대프라자 앞,2020,자동
980,신정4동,국회대로 158,양정주유소 <-> 신정중앙로,신정4동 872-1,서울특별시 양천구 국회대로 158,양정주유소 앞,2020,자동
981,신정4동,목동로19길,목동유치원 <-> 오목로42길 <-> 목동로19길,신정4동 1000-1,서울특별시 양천구 목동로19길 35,목동유치원 앞,2020,자동
982,신정4동,신정중앙로,으뜸어린이집 <-> 목동역1번출구,신정4동 878-11,서울특별시 양천구 신중앙로61,으뜸어린이집,2020,자동
983,신정7동,목동남로,갈산공원 <- > 목동파크자이 ,신정7동 163-66,서울특별시 양천구 목동남로,어린이교통공원삼거리,2021,자동
984,신정3동,중앙로 23길,목동래미안아델리체 <-> 중앙로43길,신정동 1182-11,서울특별시 양천구 중앙로237,목동래미안아델리체,2021,자동
985,신월6동,남부순환로79길,목동센트럴아이파크 104동 <-> 신월로16길,신월동 549-12,서울특별시 양천구 남부순환로79길7,목동센트럴아이파크,2021,자동
986,신정4동,중앙로52길,양동초 <-> 신중중앙로4길 <-> 중앙로52길,신정동 930-7,서울특별시 양천구 중앙로52길11,양동초 통학로,2021,자동
987,신정4동,목동로11길,영상고 <-> 양목초 ,신정동 984-1,서울특별시 양천구 목동로 11길 27,영상고~양목초 통학로,2021,자동
988,신월3동,남부순환로58길,신원초정문 <-> GS25 <-> 남부순환로60길,신월동 199-5,서울특별시 양천구 남부순환로 58길 13,신원초 통학로,2021,자동
989,신월4동,오목로5길,양천롯데캐슬 <-> 강서초후문 <-> 신월4동주민센터,신월동 441,서울특별시 양천구 오목로 31,강서초 통학로,2021,자동
990,목2동,목동중앙북로,양화초정문 <-> 그린하이츠 <-> 수산팰리스,목동 542,서울특별시 양천구 목동중앙북로16길57,양화초 통학로,2021,자동
991,신정1동,중앙로36길,목동힐스테이트 <-> 호성약국 ,신정동 1049-1,서울특별시 양천구 중앙로36길16-1,목동힐스테이트 ,2021,자동
992,신월3동,남부순환로58길,신원초정문 <-> 남부순환로,신월동 202-1,서울특별시 양천구 남부순환로 58길 41,신원초 통학로,2021,자동
993,신월4동,오목로,삼정그린뷰<-> 강서초정문 <-> 남부순환로 <-> 양강초,신월동 441,서울특별시 양천구 오목로 31,강서초 통학로,2021,자동
