,단속장소,X,Y,단속건수,number,dis,xy,dis_to_next_num,z,test
0,서울특별시 양천구 신월3동신원초교,126.8293552,37.54537221,83,0,0,"(126.8293552, 37.54537221)",132,0,0
1,서울특별시 양천구 신월동 수명산롯데캐슬아파트,126.828413,37.5441675,44,1,132,"(126.828413, 37.5441675)",218,0,0
2,서울특별시 양천구 신월동 신월중학교,126.828963,37.5410238,91,2,293,"(126.828963, 37.5410238)",163,0,0
3,서울특별시 양천구 신월동 강서경찰서,126.830222,37.5397642,98,3,386,"(126.830222, 37.5397642)",277,0,0
4,서울특별시 양천구 신월동 273,126.8280149,37.53783654,46,4,523,"(126.8280149, 37.53783654)",74,0,0
5,서울특별시 양천구 신월동 대근아트빌,126.828542,37.5371579,52,5,554,"(126.828542, 37.5371579)",409,0,0
6,서울특별시 양천구 신월동 서울 양천구 신월동 258,126.825086,37.5392792,58,6,624,"(126.825086, 37.5392792)",489,0,0
7,서울특별시 양천구 신월동 서울 양천구 신월동 263,126.828964,37.5358071,54,7,639,"(126.828964, 37.5358071)",594,0,0
8,서울특별시 양천구 신월동 송죽공원,126.833855,37.5394,141,8,639,"(126.833855, 37.5394)",924,0,0
9,서울특별시 양천구 신월동 서울금융고등학교,126.825599,37.5378113,114,9,654,"(126.825599, 37.5378113)",32,0,0
10,서울특별시 양천구 신월동 금융고,126.825747,37.5373881,196,10,666,"(126.825747, 37.5373881)",827,0,0
11,서울특별시 양천구 신월동 삼오빌딩,126.8331897,37.53701776,50,11,701,"(126.8331897, 37.53701776)",524,0,0
12,서울특별시 양천구 신월3동 신월3동 우체국 ,126.828695,37.5346534,108,12,718,"(126.828695, 37.5346534)",280,0,0
13,서울특별시 양천구 신월동 한백리츠빌,126.831214,37.53460308,50,13,746,"(126.831214, 37.53460308)",302,0,0
14,서울특별시 양천구 신월동 KB국민은행,126.8339301,37.53433533,55,14,894,"(126.8339301, 37.53433533)",515,0,0
15,서울특별시 양천구 신월동 코아루아파트,126.829573,37.5317084,49,15,911,"(126.829573, 37.5317084)",711,0,0
16,서울특별시 양천구 신월동 서울택시,126.82359,37.5355108,85,16,918,"(126.82359, 37.5355108)",1244,0,0
17,서울특별시 양천구 신월동 현대부동산,126.834418,37.5307603,43,17,1124,"(126.834418, 37.5307603)",268,0,0
18,서울특별시 양천구 신월동 서울 양천구 신월동 809,126.832249,37.5290003,40,18,1137,"(126.832249, 37.5290003)",393,0,0
19,서울특별시 양천구 신월동 신대림빌라,126.835736,37.5280141,123,19,1357,"(126.835736, 37.5280141)",185,0,0
20,서울특별시 양천구 신월3동남부순환로58길,126.834302,37.5265885,160,20,1367,"(126.834302, 37.5265885)",470,0,0
21,서울특별시 양천구 신월동 빛고을,126.838074,37.5297833,53,21,1421,"(126.838074, 37.5297833)",23,0,0
22,서울특별시 양천구 신월동 신길운수,126.8382576,37.52961396,414,22,1443,"(126.8382576, 37.52961396)",382,0,0
23,서울특별시 양천구 신월동 서울 양천구 신월동 216,126.835559,37.5260677,38,23,1460,"(126.835559, 37.5260677)",800,0,0
24,서울특별시 양천구 신월동 디아이빌,126.8285365,37.52345084,73,24,1463,"(126.8285365, 37.52345084)",3,0,0
25,서울특별시 양천구 신월동 디아이빌아파트,126.8285687,37.52343383,72,25,1464,"(126.8285687, 37.52343383)",1168,0,0
26,서울특별시 양천구 신월동 천성교회,126.838597,37.5286848,153,26,1514,"(126.838597, 37.5286848)",36,0,0
27,서울특별시 양천구 신월동 샤르망,126.838903,37.528487,97,27,1547,"(126.838903, 37.528487)",314,0,0
28,서울특별시 양천구 신월동 신월보람더하임,126.8371343,37.52480516,44,28,1621,"(126.8371343, 37.52480516)",51,0,0
29,서울특별시 양천구 신월동 보람더하임,126.8375704,37.52507481,75,29,1632,"(126.8375704, 37.52507481)",162,0,0
30,서울특별시 양천구 신월동 서울 양천구 신월동 834,126.838817,37.5263606,65,30,1647,"(126.838817, 37.5263606)",104,0,0
31,서울특별시 양천구 신월동 아이파크위브,126.8386742,37.52481136,62,31,1718,"(126.8386742, 37.52481136)",174,0,0
32,서울특별시 양천구 신월동 롯데캐슬아파트,126.8400952,37.523706,44,32,1874,"(126.8400952, 37.523706)",345,0,0
33,서울특별시 양천구 신월동 서울 양천구 신월동 863,126.84264,37.5266721,70,33,1932,"(126.84264, 37.5266721)",69,0,0
34,서울특별시 양천구 신월동 방주기픈샘아파트,126.8427541,37.5256542,56,34,1986,"(126.8427541, 37.5256542)",284,0,0
35,서울특별시 양천구 신월동 강서초등학교,126.8409412,37.52263714,38,35,1989,"(126.8409412, 37.52263714)",262,0,0
36,서울특별시 양천구 신월동 해태아파트,126.843205,37.5215192,67,36,2213,"(126.843205, 37.5215192)",1261,0,0
37,서울특별시 양천구 신정동 서남병원,126.8331915,37.51261864,43,37,2224,"(126.8331915, 37.51261864)",1051,0,0
38,서울특별시 양천구 신월동 서울 양천구 신월동 630,126.84207,37.5180398,45,38,2306,"(126.84207, 37.5180398)",98,0,0
39,서울특별시 양천구 신월6동 신곡시장(백십자약국) ,126.8428471,37.51874024,299,39,2324,"(126.8428471, 37.51874024)",177,0,0
40,서울특별시 양천구 신월동 아이파크위브아파트,126.8416119,37.51704644,83,40,2328,"(126.8416119, 37.51704644)",359,0,0
41,서울특별시 양천구 신월동 위브캐슬부동산,126.8444336,37.51966776,86,41,2397,"(126.8444336, 37.51966776)",164,0,0
42,서울특별시 양천구 신월동 서울 양천구 신월동 896,126.8455876,37.52120762,48,42,2419,"(126.8455876, 37.52120762)",629,0,0
43,서울특별시 양천구 신월동 행복부동산,126.841519,37.51463313,81,43,2455,"(126.841519, 37.51463313)",508,0,0
44,서울특별시 양천구 신월동 두산위브아파트,126.845099,37.5193773,94,44,2463,"(126.845099, 37.5193773)",1273,0,0
45,서울특별시 양천구 신정동 댓골마을,126.836399,37.50696647,406,45,2677,"(126.836399, 37.50696647)",218,0,0
46,서울특별시 양천구 신정 목동우성1차아파트,126.8345058,37.50609039,38,46,2680,"(126.8345058, 37.50609039)",2874,0,0
47,서울특별시 양천구 신월동 귀족,126.857097,37.5270511,57,47,0,"(126.857097, 37.5270511)",403,1,
48,서울특별시 양천구 신정동 태평양약국 ,126.855775,37.52141534,197,48,403,"(126.855775, 37.52141534)",74,1,1
49,서울특별시 양천구 신정동 현대힐스테이트,126.8559726,37.52034293,277,49,464,"(126.8559726, 37.52034293)",188,1,1
50,서울특별시 양천구 신정동 서울 양천구 신정동 1093,126.854404,37.5213985,58,50,481,"(126.854404, 37.5213985)",309,1,1
51,서울특별시 양천구 신정동 311-4,126.856818,37.5190859,46,51,532,"(126.856818, 37.5190859)",224,1,1
52,서울특별시 양천구 신정동 1323 목동힐스테이트,126.854849,37.5198043,501,52,544,"(126.854849, 37.5198043)",39,1,1
53,서울특별시 양천구 신정동 양명어린이공원,126.8545492,37.51948183,169,53,578,"(126.8545492, 37.51948183)",98,1,1
54,서울특별시 양천구 신정동 윤정포차,126.8537208,37.51999219,67,54,602,"(126.8537208, 37.51999219)",251,1,1
55,서울특별시 양천구 신정동 서울 양천구 신정동 1092,126.851925,37.5222874,63,55,657,"(126.851925, 37.5222874)",183,1,1
56,서울특별시 양천구 신정동 신정기독교 백화점 ,126.852776,37.51993246,261,56,675,"(126.852776, 37.51993246)",532,1,1
57,서울특별시 양천구 신정동 310-9,126.857095,37.5164824,173,57,704,"(126.857095, 37.5164824)",458,1,1
58,서울특별시 양천구 신정동 육쌈냉면,126.853188,37.5186579,40,58,708,"(126.853188, 37.5186579)",362,1,1
59,서울특별시 양천구 신정 1동중앙로36길 34-1,126.855695,37.5151742,599,59,807,"(126.855695, 37.5151742)",238,1,1
60,서울특별시 양천구 신정동 311,126.857833,37.5149876,131,60,808,"(126.857833, 37.5149876)",835,1,1
61,서울특별시 양천구 신정동 래미안아델리체,126.85099,37.5201508,160,61,820,"(126.85099, 37.5201508)",568,1,1
62,서울특별시 양천구 신정동 신트리1단지아파트,126.854566,37.51406624,79,62,910,"(126.854566, 37.51406624)",647,1,1
63,서울특별시 양천구 신정동 326,126.86027,37.5120803,106,63,0,"(126.86027, 37.5120803)",119,1,1
64,서울특별시 양천구 신정동 326-4,126.8592545,37.51265188,103,64,119,"(126.8592545, 37.51265188)",274,1,1
65,서울특별시 양천구 신정 목동10단지아파트,126.860296,37.5163781,160,65,286,"(126.860296, 37.5163781)",299,1,1
66,서울특별시 양천구 신정동 323-1,126.8629928,37.51631785,38,66,414,"(126.8629928, 37.51631785)",356,1,1
67,서울특별시 양천구 신정동 311-5,126.860212,37.5189819,68,67,460,"(126.860212, 37.5189819)",125,1,1
68,서울특별시 양천구 신정동 제이월드,126.860333,37.5208561,157,68,585,"(126.860333, 37.5208561)",425,1,1
69,서울특별시 양천구 신정동 313-4,126.864035,37.5192387,45,69,635,"(126.864035, 37.5192387)",11,1,1
70,서울특별시 양천구 신정동 312,126.864023,37.5194099,124,70,642,"(126.864023, 37.5194099)",509,1,1
71,서울특별시 양천구 신정동 서울영상고등학교,126.8600909,37.52332583,60,71,750,"(126.8600909, 37.52332583)",181,1,1
72,서울특별시 양천구 신정동 양목초등학교,126.861719,37.5234436,110,72,774,"(126.861719, 37.5234436)",293,1,1
73,서울특별시 양천구 신정동 문창오피스텔,126.864343,37.5239422,43,73,911,"(126.864343, 37.5239422)",77,1,1
74,서울특별시 양천구 신정4동 진명여고 ,126.8650214,37.52419818,145,74,965,"(126.8650214, 37.52419818)",440,1,1
75,서울특별시 양천구 신정동 1065,126.8613709,37.52675527,42,75,986,"(126.8613709, 37.52675527)",34,1,1
76,서울특별시 양천구 신정동 동일빌딩,126.861679,37.5267412,41,76,990,"(126.861679, 37.5267412)",160,1,1
77,서울특별시 양천구 신정동 이차돌,126.863117,37.5264816,47,77,1011,"(126.863117, 37.5264816)",155,1,1
78,서울특별시 양천구 신정동 디즈니골프,126.8617931,37.52722087,48,78,1024,"(126.8617931, 37.52722087)",18,1,1
79,서울특별시 양천구 신정동 오구어린이공원,126.86195,37.5273002,112,79,1032,"(126.86195, 37.5273002)",168,1,1
80,서울특별시 양천구 신정동 노브랜드버거,126.8634243,37.52670331,50,80,1036,"(126.8634243, 37.52670331)",183,1,1
81,서울특별시 양천구 신정동 밀레,126.861915,37.5278317,99,81,1066,"(126.861915, 37.5278317)",38,1,1
82,서울특별시 양천구 신정동 포차천국,126.8615749,37.52794185,75,82,1067,"(126.8615749, 37.52794185)",10,1,1
83,서울특별시 양천구 신정동 오구공원,126.8616107,37.52808776,72,83,1078,"(126.8616107, 37.52808776)",216,1,1
84,서울특별시 양천구 신정4동 홍익병원 ,126.8635331,37.52862207,159,84,1161,"(126.8635331, 37.52862207)",11,1,1
85,서울특별시 양천구 신정동 홍익병원 ,126.8636336,37.52860262,123,85,1163,"(126.8636336, 37.52860262)",1392,1,1
86,서울특별시 양천구 신정동 337-16,126.8651986,37.50789003,45,86,0,"(126.8651986, 37.50789003)",137,1,1
87,서울특별시 양천구 신정 목동2차우성아파트,126.8664324,37.50793513,43,87,137,"(126.8664324, 37.50793513)",5,1,1
88,서울특별시 양천구 신정 목동우성아파트,126.8664646,37.50799471,159,88,140,"(126.8664646, 37.50799471)",2,1,1
89,서울특별시 양천구 신정동 우성아파트,126.8664646,37.50796066,56,89,140,"(126.8664646, 37.50796066)",135,1,1
90,서울특별시 양천구 신정동 212-1,126.866868,37.5098806,117,90,228,"(126.866868, 37.5098806)",30,1,1
91,서울특별시 양천구 신정동 서부식자재마트,126.86714,37.5099169,243,91,254,"(126.86714, 37.5099169)",261,2,2
92,서울특별시 양천구 신정동 산공원,126.869123,37.5078108,92,92,436,"(126.869123, 37.5078108)",674,2,2
93,서울특별시 양천구 신정동 331-2,126.873839,37.514159,63,93,0,"(126.873839, 37.514159)",283,2,2
94,서울특별시 양천구 신정동 신정쌍용아파트,126.8756209,37.51720716,80,94,283,"(126.8756209, 37.51720716)",684,2,2
95,서울특별시 양천구 신정동 강서수도사업소,126.8696676,37.51980015,53,95,597,"(126.8696676, 37.51980015)",94,2,2
96,서울특별시 양천구 신정동 한국전력공사,126.8688231,37.51989393,49,96,676,"(126.8688231, 37.51989393)",139,2,2
97,서울특별시 양천구 신정동 제이월드빌,126.869528,37.5216146,53,97,690,"(126.869528, 37.5216146)",295,2,2
98,서울특별시 양천구 목동 405-205,126.871673,37.5242298,69,98,713,"(126.871673, 37.5242298)",544,2,2
99,서울특별시 양천구 목1 목동센트럴푸르지오 ,126.8765641,37.52386047,59,99,714,"(126.8765641, 37.52386047)",822,2,2
100,서울특별시 양천구 목5동국민은행공영주차장,126.8692331,37.5222606,68,100,744,"(126.8692331, 37.5222606)",385,2,2
101,서울특별시 양천구 신정 목동9단지아파트,126.866468,37.518773,63,101,875,"(126.866468, 37.518773)",443,2,2
102,서울특별시 양천구 목동 진도아파트,126.868562,37.5244246,54,102,901,"(126.868562, 37.5244246)",97,2,2
103,서울특별시 양천구 목동 목1동 서가앤쿡 목동점,126.86925,37.52531973,237,103,902,"(126.86925, 37.52531973)",265,2,2
104,서울특별시 양천구 목동 방송회관,126.8713877,37.52709253,101,104,904,"(126.8713877, 37.52709253)",305,2,2
105,서울특별시 양천구 목동 CBS방송국,126.8740699,37.52809145,383,105,929,"(126.8740699, 37.52809145)",89,2,2
106,서울특별시 양천구 목목동타운,126.874868,37.5282878,447,106,949,"(126.874868, 37.5282878)",630,2,2
107,서울특별시 양천구 목목동성원아파트,126.869316,37.5263806,151,107,958,"(126.869316, 37.5263806)",178,2,2
108,서울특별시 양천구 목동 세신프라자,126.870592,37.5280038,103,108,991,"(126.870592, 37.5280038)",333,2,2
109,서울특별시 양천구 목동 7단지,126.8675925,37.52781499,38,109,1145,"(126.8675925, 37.52781499)",1289,2,2
110,서울특별시 양천구 목동 서울 양천구 목동 913-7,126.878934,37.531833,43,110,0,"(126.878934, 37.531833)",237,2,2
111,서울특별시 양천구 목목동5단지아파트,126.8803674,37.53447011,100,111,237,"(126.8803674, 37.53447011)",136,2,2
112,서울특별시 양천구 목동 벽산미라지타워,126.879482,37.535888,57,112,277,"(126.879482, 37.535888)",270,2,2
113,서울특별시 양천구 목동 파리공원,126.8771469,37.53476264,153,113,278,"(126.8771469, 37.53476264)",245,2,2
114,서울특별시 양천구 목동 일번가빌딩,126.879165,37.5362571,348,114,296,"(126.879165, 37.5362571)",79,2,2
115,서울특별시 양천구 목5동목동615동,126.879867,37.5360326,123,115,298,"(126.879867, 37.5360326)",44,2,2
116,서울특별시 양천구 목5동 현대파크빌 ,126.880252,37.5358528,159,116,305,"(126.880252, 37.5358528)",92,2,2
117,서울특별시 양천구 목동 양지빌딩,126.879481,37.5363565,69,117,307,"(126.879481, 37.5363565)",169,2,2
118,서울특별시 양천구 목동 현대월드타워,126.8779576,37.5361722,97,118,309,"(126.8779576, 37.5361722)",148,2,2
119,서울특별시 양천구 목5동우리공영주차장,126.8792287,37.53684069,202,119,335,"(126.8792287, 37.53684069)",69,2,2
120,서울특별시 양천구 목동 파리지앙,126.8798537,37.53674937,64,120,343,"(126.8798537, 37.53674937)",247,2,2
121,서울특별시 양천구 목동 912,126.881859,37.5351426,63,121,393,"(126.881859, 37.5351426)",390,2,2
122,서울특별시 양천구 목동 901,126.8794469,37.53938865,76,122,507,"(126.8794469, 37.53938865)",3,2,2
123,서울특별시 양천구 목 동 901,126.8794147,37.53940566,63,123,508,"(126.8794147, 37.53940566)",651,2,2
124,서울특별시 양천구 목 동 912-3,126.883741,37.532829,38,124,538,"(126.883741, 37.532829)",1049,2,2
125,서울특별시 양천구 목동 1001안경,126.874504,37.5360269,44,125,566,"(126.874504, 37.5360269)",233,2,2
126,서울특별시 양천구 목동 목양의교회,126.8730084,37.53847977,49,126,794,"(126.8730084, 37.53847977)",98,2,2
127,서울특별시 양천구 목동 901-3,126.872374,37.5374572,92,127,820,"(126.872374, 37.5374572)",127,2,2
128,서울특별시 양천구 목극동늘푸른아파트,126.871422,37.5385193,97,128,946,"(126.871422, 37.5385193)",69,2,2
129,서울특별시 양천구 목목동초원성원아파트,126.8708634,37.53898423,112,129,1016,"(126.8708634, 37.53898423)",505,2,2
130,서울특별시 양천구 목4동보미리즌빌,126.866318,37.5391353,49,130,1485,"(126.866318, 37.5391353)",11,2,2
131,서울특별시 양천구 목동 KB,126.8663038,37.53930436,207,131,1490,"(126.8663038, 37.53930436)",311,2,2
132,서울특별시 양천구 목목동2차성원아파트,126.8641541,37.54228853,62,132,0,"(126.8641541, 37.54228853)",115,2,2
133,서울특별시 양천구 목동 성원아파트,126.8631719,37.54285308,92,133,115,"(126.8631719, 37.54285308)",445,2,2
134,서울특별시 양천구 목동 현대파크빌 ,126.8671648,37.54232325,143,134,334,"(126.8671648, 37.54232325)",589,2,2
135,서울특별시 양천구 목3동 보미진온누리약국 ,126.864092,37.5495302,118,135,483,"(126.864092, 37.5495302)",10,2,2
136,서울특별시 양천구 목동 보미진온누리약국 ,126.8640815,37.54968571,103,136,493,"(126.8640815, 37.54968571)",317,2,2
137,서울특별시 양천구 목목동대우마이빌,126.866933,37.5495335,177,137,573,"(126.866933, 37.5495335)",830,2,2
138,서울특별시 양천구 신정3 목동메디컬복합센터,126.8737257,37.54435342,167,138,1073,"(126.8737257, 37.54435342)",200,2,2
139,서울특별시 양천구 목2동어바니엘,126.874772,37.54679641,71,139,1218,"(126.874772, 37.54679641)",0,2,2
